"Chord","Key Strokes"
"   S LOOM","Ed"
"   S RROM","Ou"
"   S LROM","Der"
"   S RMOM","Lo"
"   S MMOM","Li"
"   S LMOM","Le"
"   S RLOM","Of"
"   S OORM","Da"
"   S RRRM","You"
"   S RMRM","Ly"
"   S OOLM","Dt"
"   S ORLM","Ut"
"   S RRLM","Out"
"   S OLLM","Ft"
"   O OOOL","s"
"   N OOOL","<Left GUI>s</Left GUI>"
"   O ROOL","so"
"   O MOOL","is"
"   O LOOL","es"
"  NA OOOL","<Left GUI>S</Left GUI>"
"   O OROL","rs"
"   O LROL","ers"
"   O OMOL","p"
"   O LMOL","pe"
"   O OLOL","sh"
"   O MLOL","his"
"   O LLOL","hes"
"   O OORL","as"
"   O MORL","'s"
"   O LORL","esa"
"   O OMRL","<PageDown>"
"   O OOML","w"
"   O ROML","ow"
"   O MOML","wi"
"   O LOML","we"
"   O LRML","wer"
"   O RMML","oft"
"   O OLML","wh"
"   O RLML","who"
"   O MLML","whi"
"   O LLML","whe"
"   O OOLL","st"
"   O ROLL","sto"
"   O MOLL","ist"
"   O LOLL","est"
"   O RRLL","sort"
"   O OMLL","vs"
"   O OLLL","sth"
"   O MLLL","this"
"   O LLLL","<!--  --><Left Ctrl><LeftArrow></Left Ctrl><LeftArrow>"
"   C OOLL","<Left Ctrl>}</Left Ctrl>"
"   S ROOL","So"
"   S MOOL","Is"
"   S LOOL","Es"
"   S OROL","Rs"
"   S LROL","Ers"
"   S LMOL","Pe"
"   S OLOL","Sh"
"   S MLOL","His"
"   S LLOL","Hes"
"   S OORL","As"
"   S LORL","Esa"
"   S ROML","Ow"
"   S MOML","Wi"
"   S LOML","We"
"   S LRML","Wer"
"   S RMML","Oft"
"   S OLML","Wh"
"   S RLML","Who"
"   S MLML","Whi"
"   S LLML","Whe"
"   S OOLL","St"
"   S ROLL","Sto"
"   S MOLL","Ist"
"   S LOLL","Est"
"   S RRLL","Sort"
"   S OMLL","Vs"
"   S OLLL","Sth"
"   S MLLL","This"
"   S LLLL","<Home><Left Shift><End></Left Shift>"
